KECAMATAN,PUSKESMAS,Desa/Kelurahan,Data tersedia,Stunting (1805),Selisih,JKN / BPJS,,,Air Bersih,,,Kecacingan,,,Jamban Sehat,,,Imunisasi,,,Merokok (Keluarga),,,Riwayat Ibu Hamil,,,Penyakit Penyerta,,
,,,,,,Belum ada data,Ya,Tidak,Belum ada data,Ya,Tidak,Belum ada data,Ya,Tidak,Belum ada data,Ya,Tidak,Belum ada data,Ya,Tidak,Belum ada data,Ya,Tidak,Belum ada data,Ya,Tidak,Belum ada data,Ya,Tidak
BOGOR SELATAN,BOGOR SELATAN,RANGGAMEKAR,8,43,-35,0,6,0,0,7,0,0,0,6,0,7,0,0,7,0,0,6,0,0,0,6,0,0,7
BOGOR SELATAN,BOGOR SELATAN,BATUTULIS,2,9,-7,0,2,0,0,2,0,0,0,1,0,2,0,0,2,0,0,1,0,0,0,2,0,0,1
BOGOR SELATAN,MULYA HARJA,MULYAHARJA,39,39,0,0,6,0,0,37,0,0,0,37,0,11,0,0,6,0,0,6,0,0,0,11,0,0,2
BOGOR SELATAN,MULYA HARJA,pamoyanan,34,35,-1,0,10,0,0,20,0,0,0,19,0,12,0,0,2,0,0,3,0,0,0,10,0,0,13
BOGOR SELATAN,CIPAKU,GENTENG,6,6,0,0,6,0,0,6,0,0,6,0,0,6,0,0,5,1,1,5,0,0,1,5,0,0,6
BOGOR SELATAN,CIPAKU,KERTAMAYA,7,8,-1,0,3,4,0,7,0,0,1,6,0,7,0,0,3,4,0,7,0,0,1,6,0,0,7
BOGOR SELATAN,CIPAKU,RANCAMAYA,7,7,0,0,5,2,0,7,0,0,1,6,0,7,0,0,2,5,0,7,0,0,0,7,0,0,7
BOGOR SELATAN,CIPAKU,BOJONGKERTA,13,14,-1,0,6,7,0,13,0,0,0,13,0,13,0,0,6,7,0,12,1,0,1,12,0,0,13
BOGOR SELATAN,CIPAKU,CIPAKU,11,11,0,1,4,6,1,10,0,2,0,9,1,0,10,1,7,3,2,9,0,1,0,10,1,0,10
